SeqID	TaxonName	Species-levelName	Light	Temperature	Moisture	Reaction	Nutrients	Salinity		Disturbance.Severity	Disturbance.Severity.herblayer	Disturbance.Frequency	Disturbance.Frequency.herblayer	Mowing.Frequency	Grazing.Pressure	Soil.Disturbance	SD_Disturbance.Severity	SD_Disturbance.Severity.herblayer	SD_Disturbance.Frequency	SD_Disturbance.Frequency.herblayer	SD_Mowing.Frequency	SD_Grazing.Pressure	SD_Soil.Disturbance
156	Agave americana	Agave americana	8.5	10	3	7	5.5	0.5		0.62581	0.30857	0.55932	1.686	0.01309	0.26765	0.26286	0.0111	0.0089	1.523	0.3096	0.9664	0.0058	0.012
157	Agrimonia eupatoria	Agrimonia eupatoria	7.1	x	4.1	7.3	3.9	0.1		0.54101	0.43842	0.83225	1.69485	0.60411	0.24194	0.19299	0.0003	0.0004	0.0779	0.0062	0.1032	0.0004	0.0004
158	Agrimonia pilosa	Agrimonia pilosa	6.5	5.5	6	NA	NA	NA		0.625	0.38812	0.42616	1.508	0.33192	0.20408	0.1625	0.0026	0.0055	0.9639	0.044	1.102	0.0029	0.0027
159	Agrimonia procera	Agrimonia procera	5.6	x	5.3	6.5	4.8	0		0.52685	0.45963	0.88164	1.48991	0.65975	0.1886	0.20088	0.004	0.0053	1.0672	0.1427	1.3406	0.0025	0.0039
160	Agrimonia repens	Agrimonia repens	NA	6	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
161	Agropyron cristatum	Agropyron cristatum	8.4	6.7	2.5	7.3	2.3	0		0.51141	0.50264	1.69163	1.96681	0.55434	0.38632	0.22652	0.0015	0.0015	0.0443	0.0339	0.3526	0.0015	0.0016
162	Agropyron dasyanthum	Agropyron dasyanthum	8.5	5.5	5	NA	NA	NA		0.36471	0.35882	1.63221	1.66049	0.28498	0.12941	0.42059	0	0	0	0	0	0	0
163	Agropyron desertorum	Agropyron desertorum	8.8	6.7	3.9	7	7	8		0.475	0.475	2.12617	2.11381	0.14704	0.47444	0.26211	0.0035	0.0035	0.0258	0.0259	1.0297	0.0038	0.0019
164	Agropyron fragile	Agropyron fragile	NA	NA	NA	NA	NA	NA		0.32885	0.32143	2.14222	2.01472	0.06749	0.29455	0.27778	0.0069	0.0069	0.0513	0.0516	1.5717	0.0085	0.0043
165	Agropyron tanaiticum	Agropyron tanaiticum	NA	NA	NA	NA	NA	NA		0.33226	0.32903	1.72421	1.72793	0.37742	0.14516	0.42258	0.0013	0.0013	0.0571	0.0573	1.1097	0.0026	0.0024
166	Agrostemma githago	Agrostemma githago	7.3	5.9	3.9	6.3	5	0		0.89201	0.88991	2.03298	2.12148	0.28503	0.10406	0.87023	0.0017	0.0018	0.0826	0.0108	0.7071	0.0015	0.0024
167	Agrostis alpina	Agrostis alpina	8.1	2	5.2	6	4.3	0		0.30096	0.29266	1.42237	1.56809	0.02663	0.2639	0.09243	0.0005	0.0005	0.0961	0.0757	0.0958	0.0006	0.0005
168	Agrostis canina	Agrostis canina	8	5	8.4	3.1	2	0		0.39908	0.33733	1.05421	1.56112	0.43687	0.21865	0.16903	0.0006	0.0005	0.0562	0.0091	0.1239	0.0004	0.0003
169	Agrostis capillaris	Agrostis capillaris	7.2	4.9	4.9	3.5	3.3	0		0.52099	0.43132	0.86379	1.80498	0.57578	0.29897	0.2949	0.0002	0.0002	0.036	0.003	0.0472	0.0002	0.0002
