site	plotID	warming	treatment	year	date	recorder	writer	functional_group	species	cover
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sel_sel	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	2
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Vac_myr	4
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	3
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Pyr_sp	3
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Evergreen_shrubs	Emp_nig	6
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Luz_mul	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Tar_sp	2
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cam_rot	1
Skjellingahaugen	Skj_7_2	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Alc_alp	10
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Cam_rot	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Graminoids	Car_big	15
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Graminoids	Nar_str	7
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Deciduous_shrubs	Sal_her	3
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Sib_pro	15
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Eup_wet	1
